,price_spain,is_collapse,wind_penetration,solar_penetration,renewables_penetration,gen_to_demand_ratio,temp_mean_c,wind_speed_ms,sunshine_hours
price_spain,1.0,-0.24086676592397485,-0.2816478185087258,-0.22119026588378196,-0.3291652831824913,-0.3291350911043523,-0.08239368785177874,-0.19617764371969346,-0.11862811630959648
is_collapse,-0.24086676592397485,1.0,0.1614030117469227,-0.1607194944284389,-0.044094233648326875,-0.04419567503075244,-0.06927205342869362,0.1470649927526063,-0.024720691756180666
wind_penetration,-0.2816478185087258,0.1614030117469227,1.0,0.07023271839782072,0.5897907451137931,0.5897004860994823,-0.3047738857928696,-0.037558847219417386,-0.09962381204222868
solar_penetration,-0.22119026588378196,-0.1607194944284389,0.07023271839782072,1.0,0.8469845693276765,0.8470435644948725,-0.018455835602412388,-0.10306741401297972,0.006219998851327247
renewables_penetration,-0.3291652831824913,-0.044094233648326875,0.5897907451137931,0.8469845693276765,1.0,0.9999996577936734,-0.17721753341316818,-0.10396874794358728,-0.047882271246965986
gen_to_demand_ratio,-0.3291350911043523,-0.04419567503075244,0.5897004860994823,0.8470435644948725,0.9999996577936734,1.0,-0.1771956214535472,-0.10400311380730425,-0.04786301870263751
temp_mean_c,-0.08239368785177874,-0.06927205342869362,-0.3047738857928696,-0.018455835602412388,-0.17721753341316818,-0.1771956214535472,1.0,0.37005522797078244,0.5175396786721833
wind_speed_ms,-0.19617764371969346,0.1470649927526063,-0.037558847219417386,-0.10306741401297972,-0.10396874794358728,-0.10400311380730425,0.37005522797078244,1.0,0.43841113803990545
sunshine_hours,-0.11862811630959648,-0.024720691756180666,-0.09962381204222868,0.006219998851327247,-0.047882271246965986,-0.04786301870263751,0.5175396786721833,0.43841113803990545,1.0
