date,price_spain,price_france,price_portugal,spread_fr_es,spread_pt_es
2015-01-01,46.70249999999999,41.499583333333334,46.70249999999999,-5.20291666666666,0.0
2015-01-02,54.32208333333333,41.00125,54.32208333333333,-13.320833333333333,0.0
2015-01-03,53.76833333333334,41.6575,53.76833333333334,-12.11083333333334,0.0
2015-01-04,45.757083333333334,34.4175,46.225833333333334,-11.339583333333337,0.46875
2015-01-05,59.77625,44.42625,59.77625,-15.349999999999994,0.0
2015-01-06,53.42208333333334,45.163333333333334,53.79125,-8.258750000000006,0.36916666666665776
2015-01-07,64.39666666666666,45.365833333333335,64.39666666666666,-19.030833333333327,0.0
2015-01-08,65.71791666666667,43.01416666666666,65.96208333333333,-22.703750000000007,0.24416666666665776
2015-01-09,63.60041666666667,33.55916666666666,63.60041666666667,-30.041250000000005,0.0
2015-01-10,56.74583333333333,17.798333333333336,57.437916666666666,-38.94749999999999,0.6920833333333363
2015-01-11,46.51625000000001,26.0175,46.57541666666666,-20.49875000000001,0.05916666666665549
2015-01-12,58.19875,36.27333333333333,58.45041666666666,-21.925416666666663,0.25166666666666515
2015-01-13,56.87875,36.75833333333333,57.07875000000001,-20.120416666666664,0.20000000000000995
2015-01-14,61.4975,39.089166666666664,61.58958333333334,-22.40833333333334,0.09208333333333485
2015-01-15,47.65833333333333,36.85041666666667,47.65833333333333,-10.807916666666664,0.0
2015-01-16,52.63999999999999,42.11666666666667,52.63999999999999,-10.523333333333326,0.0
2015-01-17,46.60833333333333,36.98625,46.60833333333333,-9.622083333333329,0.0
2015-01-18,42.803333333333335,36.79291666666666,42.803333333333335,-6.010416666666671,0.0
2015-01-19,52.168749999999996,46.24166666666667,52.168749999999996,-5.927083333333329,0.0
2015-01-20,60.57416666666666,49.73375000000001,60.57416666666666,-10.840416666666655,0.0
2015-01-21,52.115,50.13458333333333,52.115,-1.9804166666666703,0.0
2015-01-22,50.64333333333334,51.49125,50.64333333333334,0.8479166666666629,0.0
2015-01-23,53.649166666666666,48.418749999999996,53.85125,-5.23041666666667,0.20208333333333428
2015-01-24,46.94166666666666,42.3825,46.94166666666666,-4.559166666666663,0.0
2015-01-25,40.69375,40.249583333333334,40.69375,-0.4441666666666677,0.0
2015-01-26,57.5875,47.13958333333333,57.5875,-10.447916666666671,0.0
2015-01-27,55.57666666666666,48.22958333333333,56.412083333333335,-7.34708333333333,0.8354166666666742
2015-01-28,57.44875,45.137499999999996,57.44875,-12.311250000000001,0.0
2015-01-29,44.35375,49.5975,44.35375,5.243749999999999,0.0
2015-01-30,33.564166666666665,41.682916666666664,33.964166666666664,8.118749999999999,0.3999999999999986
2015-01-31,17.177916666666665,41.99458333333333,20.337083333333332,24.816666666666666,3.1591666666666676
2015-02-01,16.530833333333334,36.270833333333336,16.530833333333334,19.740000000000002,0.0
2015-02-02,48.25875,54.07666666666666,47.60791666666666,5.817916666666662,-0.6508333333333383
2015-02-03,43.39291666666667,56.70166666666666,43.39291666666667,13.30874999999999,0.0
2015-02-04,39.51916666666667,53.552083333333336,39.51916666666667,14.032916666666665,0.0
2015-02-05,42.64958333333333,52.60541666666666,42.64958333333333,9.95583333333333,0.0
2015-02-06,46.11875,51.72416666666666,46.11875,5.605416666666663,0.0
2015-02-07,53.093333333333334,52.106249999999996,53.093333333333334,-0.987083333333338,0.0
2015-02-08,40.22,48.73208333333333,40.22,8.51208333333333,0.0
2015-02-09,51.60458333333333,62.117916666666666,51.6675,10.513333333333335,0.06291666666666629
2015-02-10,60.21125,62.10333333333333,60.17666666666667,1.892083333333332,-0.0345833333333303
2015-02-11,63.699999999999996,56.02666666666667,63.699999999999996,-7.673333333333325,0.0
2015-02-12,65.33624999999999,54.06916666666667,65.77708333333332,-11.267083333333325,0.4408333333333303
2015-02-13,51.46958333333333,49.244166666666665,51.46958333333333,-2.2254166666666677,0.0
2015-02-14,39.01916666666667,40.35916666666667,39.01916666666667,1.3399999999999963,0.0
2015-02-15,28.902083333333334,41.56458333333333,28.902083333333334,12.662499999999998,0.0
2015-02-16,51.232499999999995,55.03458333333333,51.232499999999995,3.8020833333333357,0.0
2015-02-17,39.831250000000004,49.81708333333333,39.831250000000004,9.985833333333325,0.0
2015-02-18,45.81583333333333,51.12708333333333,45.98875,5.311250000000001,0.17291666666667282
2015-02-19,56.27041666666667,52.04416666666666,56.27041666666667,-4.226250000000007,0.0
2015-02-20,52.00875,50.885,52.00875,-1.1237500000000011,0.0
2015-02-21,35.39791666666667,48.497083333333336,35.39791666666667,13.099166666666669,0.0
2015-02-22,16.349999999999998,39.60166666666667,16.46875,23.25166666666667,0.11875000000000213
2015-02-23,29.65416666666667,46.88583333333333,29.65416666666667,17.231666666666662,0.0
2015-02-24,26.175,46.111250000000005,26.175,19.936250000000005,0.0
2015-02-25,34.01541666666667,49.099583333333335,34.01541666666667,15.084166666666668,0.0
2015-02-26,40.49916666666667,48.08708333333333,40.49916666666667,7.587916666666665,0.0
2015-02-27,39.639583333333334,48.42625,39.639583333333334,8.786666666666669,0.0
2015-02-28,34.986666666666665,47.23500000000001,34.986666666666665,12.248333333333342,0.0
2015-03-01,25.799166666666665,27.0325,25.975416666666664,1.2333333333333343,0.17624999999999957
2015-03-02,42.73374999999999,44.42291666666666,42.73374999999999,1.6891666666666652,0.0
2015-03-03,54.595416666666665,51.524166666666666,54.595416666666665,-3.071249999999999,0.0
2015-03-04,35.158750000000005,47.54791666666667,35.158750000000005,12.389166666666668,0.0
2015-03-05,26.497083333333336,49.54958333333334,26.497083333333336,23.052500000000002,0.0
2015-03-06,47.905833333333334,50.178333333333335,47.895,2.272500000000001,-0.010833333333330586
2015-03-07,45.48916666666667,41.37416666666667,45.48916666666667,-4.115000000000002,0.0
2015-03-08,37.60208333333333,30.349166666666665,37.60208333333333,-7.252916666666668,0.0
2015-03-09,46.276250000000005,44.4975,46.276250000000005,-1.7787500000000023,0.0
2015-03-10,53.50458333333333,47.196666666666665,53.50458333333333,-6.307916666666664,0.0
2015-03-11,48.5,46.19125,48.5,-2.3087500000000034,0.0
2015-03-12,46.59625,45.02166666666667,46.59625,-1.5745833333333294,0.0
2015-03-13,41.815000000000005,44.37083333333334,41.815000000000005,2.5558333333333323,0.0
2015-03-14,40.80916666666666,40.83625,40.80916666666666,0.027083333333337123,0.0
2015-03-15,41.30416666666667,38.98,41.30416666666667,-2.3241666666666703,0.0
2015-03-16,54.159166666666664,54.10541666666666,54.159166666666664,-0.05375000000000085,0.0
2015-03-17,46.586666666666666,47.66708333333333,46.586666666666666,1.0804166666666646,0.0
2015-03-18,46.695,45.46458333333334,46.695,-1.2304166666666632,0.0
2015-03-19,38.55583333333333,42.21,38.55583333333333,3.6541666666666686,0.0
2015-03-20,39.10666666666667,40.35375,39.122083333333336,1.2470833333333289,0.015416666666666856
2015-03-21,43.312083333333334,44.66458333333333,43.312083333333334,1.3524999999999991,0.0
2015-03-22,40.52791666666666,31.779583333333335,40.52791666666666,-8.748333333333328,0.0
2015-03-23,53.39458333333334,52.89166666666667,53.39458333333334,-0.502916666666664,0.0
2015-03-24,45.907916666666665,56.835,45.907916666666665,10.927083333333336,0.0
2015-03-25,42.547916666666666,57.0075,42.547916666666666,14.459583333333335,0.0
2015-03-26,45.08291666666667,50.30458333333333,45.08291666666667,5.221666666666664,0.0
2015-03-27,45.82333333333333,50.71791666666667,45.82333333333333,4.894583333333337,0.0
2015-03-28,44.065,36.514583333333334,44.065,-7.5504166666666634,0.0
2015-03-29,30.96782608695652,19.21,33.53434782608696,-11.75782608695652,2.5665217391304367
2015-03-30,41.705416666666665,37.90083333333333,41.705416666666665,-3.8045833333333334,0.0
2015-03-31,43.495000000000005,40.44875,43.495000000000005,-3.0462500000000077,0.0
2015-04-01,29.873333333333335,43.13708333333333,29.944166666666664,13.263749999999995,0.0708333333333293
2015-04-02,37.719166666666666,50.2475,37.69083333333333,12.528333333333336,-0.028333333333335986
2015-04-03,35.81916666666667,47.162083333333335,35.81916666666667,11.342916666666667,0.0
2015-04-04,25.367500000000003,30.958333333333332,25.367500000000003,5.590833333333329,0.0
2015-04-05,23.620416666666667,27.277083333333334,25.739583333333332,3.6566666666666663,2.119166666666665
