date,temp_mean_c,temp_max_c,temp_min_c,sunshine_hours,wind_speed_ms,wind_gust_ms,precip_mm,humidity_mean_pct,pressure_max_hpa,pressure_min_hpa,n_stations
2015-01-01,6.719342793129201,13.487154592979833,-0.07281553398058237,7.177371172516803,1.4178479931682324,5.824423569598634,0.0,62.06005004170141,996.8459549624688,991.8773144286906,15
2015-01-02,7.394324122479462,15.173263629574311,-0.35899925317401016,6.816878267363704,1.62732707087959,6.202732707087959,0.0,61.56964136780651,998.808757297748,995.9108423686405,15
2015-01-03,8.601792382374905,16.540403286034355,0.6401792382374906,7.715533980582524,1.8370623398804442,6.015542271562766,0.0,60.141125541125554,998.0729774812345,994.2217681401166,15
2015-01-04,9.223823749066465,16.667737117251683,1.8410007468259897,7.017102315160567,1.3509820666097352,6.091374893253629,0.004422032583397983,67.22185154295246,995.1239366138448,990.9854879065888,15
2015-01-05,8.378566094100075,15.18117998506348,1.5799850634802093,7.3272591486183725,1.1554227156276689,4.915713065755765,0.0029480217222653225,72.4008658008658,992.0680567139283,987.2531276063386,15
2015-01-06,7.028155339805824,12.728902165795372,1.373861090365945,5.731292008961911,1.1696840307429548,5.206404782237404,0.010550814584949574,78.43549783549786,989.4821517931608,985.8514595496246,15
2015-01-07,7.148767737117252,12.613069454817028,1.6661687826736373,4.79880507841673,1.178479931682323,5.4737830913748935,0.39720713731574864,79.4883116883117,993.8472060050042,989.1864053377814,15
2015-01-08,6.809036594473488,12.449663928304705,1.1775205377147124,5.240309372156506,1.4675491033304868,6.130230572160547,0.051195065535851965,79.9349457881568,1001.2511259382819,993.7521267723102,14
2015-01-09,8.021060492905153,14.71142643764003,1.3315160567587752,7.362658700522776,1.8582408198121263,6.155935098206661,0.08103061986557134,72.96997497914928,1002.6125938281901,999.1894078398665,15
2015-01-10,9.27378640776699,17.23517550410754,1.2956684092606423,7.163704256908141,1.480785653287788,6.796754910333048,0.21620612397311423,71.28940783986656,999.3391993327774,989.9278565471226,15
2015-01-11,8.947647498132934,15.680881254667664,2.238461538461538,6.040104555638535,1.6692570452604611,6.956447480785654,0.09753276792598302,71.83903252710593,994.8011676396997,988.8786488740617,15
2015-01-12,8.806721433905901,15.03517550410754,2.5907393577296487,6.278416728902167,1.4929120409906065,6.204867634500428,0.0,74.22768974145123,994.4216013344453,988.1542118432028,15
